Sample Name,Noise Type,Noise Intensity,Compressor,Result,Distance
bigfoot,pink,0.05,LZMA,bigfoot,0.978028
bigfoot,pink,0.05,ZSTD,bigfoot,0.985327
bigfoot,pink,0.05,LZ4,f33llik3dyin,0.997813
bigfoot,pink,0.05,LZO,goodiebag,0.907295
bigfoot,pink,0.05,SNAPPY,bigfoot,0.930053
bigfoot,pink,0.15,GZIP,bigfoot,0.990702
bigfoot,pink,0.15,BZIP2,bigfoot,0.988403
bigfoot,pink,0.15,LZMA,bigfoot,0.978028
bigfoot,pink,0.15,ZSTD,bigfoot,0.985327
bigfoot,pink,0.15,LZ4,f33llik3dyin,0.997813
bigfoot,pink,0.15,LZO,goodiebag,0.907295
bigfoot,pink,0.15,SNAPPY,bigfoot,0.930053
bigfoot,pink,0.1,GZIP,bigfoot,0.990702
bigfoot,pink,0.1,BZIP2,bigfoot,0.988403
bigfoot,pink,0.1,LZMA,bigfoot,0.978028
bigfoot,pink,0.1,ZSTD,bigfoot,0.985327
bigfoot,pink,0.1,LZ4,f33llik3dyin,0.997813
bigfoot,pink,0.1,LZO,goodiebag,0.907295
bigfoot,pink,0.1,SNAPPY,bigfoot,0.930053
bigfoot,pink,0.25,GZIP,bigfoot,0.990702
bigfoot,pink,0.25,BZIP2,bigfoot,0.988403
bigfoot,pink,0.25,LZMA,bigfoot,0.978028
bigfoot,pink,0.25,ZSTD,bigfoot,0.985327
bigfoot,pink,0.25,LZ4,f33llik3dyin,0.997813
bigfoot,pink,0.25,LZO,goodiebag,0.907295
bigfoot,pink,0.25,SNAPPY,bigfoot,0.930053
bigfoot,pink,0.2,GZIP,bigfoot,0.990702
bigfoot,pink,0.2,BZIP2,bigfoot,0.988403
bigfoot,pink,0.2,LZMA,bigfoot,0.978028
bigfoot,pink,0.2,ZSTD,bigfoot,0.985327
bigfoot,pink,0.2,LZ4,f33llik3dyin,0.997813
bigfoot,pink,0.2,LZO,goodiebag,0.907295
bigfoot,pink,0.2,SNAPPY,bigfoot,0.930053
bigfoot,white,0.05,GZIP,bigfoot,0.990702
bigfoot,white,0.05,BZIP2,bigfoot,0.988403
bigfoot,white,0.05,LZMA,bigfoot,0.978028
bigfoot,white,0.05,ZSTD,bigfoot,0.985327
bigfoot,white,0.05,LZ4,f33llik3dyin,0.997813
bigfoot,white,0.05,LZO,goodiebag,0.907295
bigfoot,white,0.05,SNAPPY,bigfoot,0.930053
bigfoot,white,0.15,GZIP,bigfoot,0.990702
bigfoot,white,0.15,BZIP2,bigfoot,0.988403
bigfoot,white,0.15,LZMA,bigfoot,0.978028
bigfoot,white,0.15,ZSTD,bigfoot,0.985327
bigfoot,white,0.15,LZ4,f33llik3dyin,0.997813
bigfoot,white,0.15,LZO,goodiebag,0.907295
bigfoot,white,0.15,SNAPPY,bigfoot,0.930053
bigfoot,white,0.1,GZIP,bigfoot,0.990702
bigfoot,white,0.1,BZIP2,bigfoot,0.988403
bigfoot,white,0.1,LZMA,bigfoot,0.978028
bigfoot,white,0.1,ZSTD,bigfoot,0.985327
bigfoot,white,0.1,LZ4,f33llik3dyin,0.997813
bigfoot,white,0.1,LZO,goodiebag,0.907295
bigfoot,white,0.1,SNAPPY,bigfoot,0.930053
bigfoot,white,0.25,GZIP,bigfoot,0.990702
bigfoot,white,0.25,BZIP2,bigfoot,0.988403
bigfoot,white,0.25,LZMA,bigfoot,0.978028
bigfoot,white,0.25,ZSTD,bigfoot,0.985327
bigfoot,white,0.25,LZ4,f33llik3dyin,0.997813
bigfoot,white,0.25,LZO,goodiebag,0.907295
bigfoot,white,0.25,SNAPPY,bigfoot,0.930053
bigfoot,white,0.2,GZIP,bigfoot,0.990702
bigfoot,white,0.2,BZIP2,bigfoot,0.988403
bigfoot,white,0.2,LZMA,bigfoot,0.978028
bigfoot,white,0.2,ZSTD,bigfoot,0.985327
bigfoot,white,0.2,LZ4,f33llik3dyin,0.997813
bigfoot,white,0.2,LZO,goodiebag,0.907295
bigfoot,white,0.2,SNAPPY,bigfoot,0.930053
cake,brown,0.05,GZIP,cake,0.990954
cake,brown,0.05,BZIP2,cake,0.981822
cake,brown,0.05,LZMA,cake,0.972482
cake,brown,0.05,ZSTD,cake,0.986594
cake,brown,0.05,LZ4,cake,0.992281
cake,brown,0.05,LZO,getitstarted,0.889468
cake,brown,0.05,SNAPPY,please,0.926185
cake,brown,0.15,GZIP,cake,0.990954
cake,brown,0.15,BZIP2,cake,0.981822
cake,brown,0.15,LZMA,cake,0.972482
cake,brown,0.15,ZSTD,cake,0.986594
cake,brown,0.15,LZ4,cake,0.992281
cake,brown,0.15,LZO,getitstarted,0.889468
cake,brown,0.15,SNAPPY,please,0.926185
cake,brown,0.1,GZIP,cake,0.990954
cake,brown,0.1,BZIP2,cake,0.981822
cake,brown,0.1,LZMA,cake,0.972482
cake,brown,0.1,ZSTD,cake,0.986594
cake,brown,0.1,LZ4,cake,0.992281
